지점,지점명,일시,기온(°C)
408,동대문,2024-03-20 01:00,4
408,동대문,2024-03-20 02:00,3.7
408,동대문,2024-03-20 03:00,3.3
408,동대문,2024-03-20 04:00,2.9
408,동대문,2024-03-20 05:00,3
408,동대문,2024-03-20 06:00,2.7
408,동대문,2024-03-20 07:00,2.4
408,동대문,2024-03-20 08:00,3.7
408,동대문,2024-03-20 09:00,4.7
408,동대문,2024-03-20 10:00,5.4
408,동대문,2024-03-20 11:00,5.8
408,동대문,2024-03-20 12:00,6.2
408,동대문,2024-03-20 13:00,7.4
408,동대문,2024-03-20 14:00,7.4
408,동대문,2024-03-20 15:00,8.1
408,동대문,2024-03-20 16:00,7.8
408,동대문,2024-03-20 17:00,7.8
408,동대문,2024-03-20 18:00,6.8
408,동대문,2024-03-20 19:00,5.9
408,동대문,2024-03-20 20:00,5.6
408,동대문,2024-03-20 21:00,5.1
408,동대문,2024-03-20 22:00,4.5
408,동대문,2024-03-20 23:00,3.6
408,동대문,2024-03-21 00:00,3.2
